name,short_name,easting,northing,depth,log_q_c
Jaksa_D54,D54,25,31,1.302,1.7101878155342434
Jaksa_D54,D54,25,31,1.307,1.706564623164823
Jaksa_D54,D54,25,31,1.312,1.749199854809259
Jaksa_D54,D54,25,31,1.317,1.749199854809259
Jaksa_D54,D54,25,31,1.322,1.7833912195575383
Jaksa_D54,D54,25,31,1.327,1.8325814637483102
Jaksa_D54,D54,25,31,1.332,1.8594181177018698
Jaksa_D54,D54,25,31,1.337,1.925707441737794
Jaksa_D54,D54,25,31,1.342,1.925707441737794
Jaksa_D54,D54,25,31,1.347,2.0162354657760435
Jaksa_D54,D54,25,31,1.352,2.028148247292285
Jaksa_D54,D54,25,31,1.357,2.0412203288596382
Jaksa_D54,D54,25,31,1.362,2.066862759472976
Jaksa_D54,D54,25,31,1.367,2.0592388343623163
Jaksa_D54,D54,25,31,1.372,2.0844290831908747
Jaksa_D54,D54,25,31,1.377,2.096790180014449
Jaksa_D54,D54,25,31,1.382,2.1114245875328868
Jaksa_D54,D54,25,31,1.387,2.0980179272527715
Jaksa_D54,D54,25,31,1.392,2.0930978681273213
Jaksa_D54,D54,25,31,1.397,2.0706530356467567
Jaksa_D54,D54,25,31,1.402,2.063058062429312
Jaksa_D54,D54,25,31,1.407,2.0425181875752383
Jaksa_D54,D54,25,31,1.412,2.030776369698555
Jaksa_D54,D54,25,31,1.417,2.046401687601636
Jaksa_D54,D54,25,31,1.423,2.0373166153791646
Jaksa_D54,D54,25,31,1.428,2.0541237336955462
Jaksa_D54,D54,25,31,1.433,2.048982334195127
Jaksa_D54,D54,25,31,1.438,2.0744289998562917
Jaksa_D54,D54,25,31,1.443,2.081938421878423
Jaksa_D54,D54,25,31,1.448,2.0769384114617173
Jaksa_D54,D54,25,31,1.453,2.0980179272527715
Jaksa_D54,D54,25,31,1.458,2.124653884501384
Jaksa_D54,D54,25,31,1.463,2.131796772013764
Jaksa_D54,D54,25,31,1.468,2.134166441369082
Jaksa_D54,D54,25,31,1.473,2.145931282948669
